ID,capacity,diameter,height,manufacturer,lon,lat,type,time_res,bucket,cluster,scalar,offset,run_name,obs_level,country,mode,obs_rank
0003012119_E4,3000.0,132.0,86.0,SGRE,4.31933398852674,49.53942179123979,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E1,3300.0,126.0,110.0,VESTAS,4.148794340236066,49.634805815721684,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E10,3300.0,126.0,110.0,VESTAS,4.135074740824312,49.62010606751598,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E11,3300.0,126.0,110.0,VESTAS,4.125415469294704,49.61740989259935,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E12,3300.0,126.0,110.0,VESTAS,4.115771041885744,49.614712814763216,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E13,3300.0,126.0,110.0,VESTAS,4.106113800474648,49.612015089174776,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E14,3300.0,126.0,110.0,VESTAS,4.207299119379617,49.634867969587944,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E15,3300.0,126.0,110.0,VESTAS,4.1965077342371995,49.62841407551062,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E16,3300.0,126.0,110.0,VESTAS,4.187824856256616,49.623286690457896,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E17,3300.0,126.0,110.0,VESTAS,4.184997709252394,49.61468656199438,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E18,3300.0,126.0,110.0,VESTAS,4.175893191227657,49.60911302433832,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E19,3300.0,126.0,110.0,VESTAS,4.165417372275033,49.60274308952132,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E2,3300.0,126.0,110.0,VESTAS,4.140997249231873,49.632632499494626,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
