cluster,scalar,offset,lon,lat,type,country,elevation,slope,aspect,roughness,curvature,distance_to_coast_km,nearby_mean_correction,nearby_correction_variance,turbine_density,era5_elevation_error,era5_roughness,subgrid_terrain_variance,latitude,longitude,abs_latitude,coastal_latitude
44.0,1.3197909339053049,-1.337945738393762,-1.9375,50.85294117647059,onshore,UK,-66.50512270500725,0.19863189426185637,234.1276840965865,31.060767601728603,6.678651406818392e-07,9.984507534648548,1.2891527863871803,0.38322556272330666,2,110.88772317573375,0.2807709574699402,43.21521982006649,50.85294117647059,-1.9375,50.85294117647059,50.85294117647059
45.0,1.6723783491104869,-2.6943806170901707,-1.28125,50.85294117647059,onshore,UK,21.887645969025527,0.0,90.0,55.16634226006016,-1.3644252445678455e-06,1.0678931777584564,1.3886137432941856,0.06882280938888086,2,0.8303665690226367,0.2116156369447708,32.88778742302499,50.85294117647059,-1.28125,50.85294117647059,50.85294117647059
46.0,1.4574365526830666,-1.9510810584482952,-0.625,50.85294117647059,onshore,UK,-2.7593739504030452,0.1774909712274109,333.9996161923214,49.20067477334379,-3.092052660383494e-08,4.393911887628446,1.2338103368823883,0.43856801222809855,2,18.75960760881341,0.027984928339719772,42.80107011349357,50.85294117647059,-0.625,50.85294117647059,50.85294117647059
47.0,0.7952423246542898,0.8292643286235231,0.03125,50.85294117647059,onshore,UK,-17.164572525692975,0.2097240141105993,80.3248249106423,33.69660441352021,-3.9613359645291266e-07,4.967341972199081,1.3457979191078002,0.11163863357526649,2,32.515135424975604,0.030232738703489304,33.28722657564107,50.85294117647059,0.03125,50.85294117647059,50.85294117647059
48.0,1.2341592855325336,-0.9242671087348616,0.6875,50.85294117647059,onshore,UK,-44.731057193856145,0.3361561057499938,25.557805837046374,66.83856682255441,-4.1594698301335843e-07,1.9259525228561467,0.788041574887673,0.007200749766616832,2,45.89322497350057,0.025067996233701706,54.46082981948816,50.85294117647059,0.6875,50.85294117647059,50.85294117647059
49.0,0.7808408251210561,0.8423463273154446,1.34375,50.85294117647059,onshore,UK,-100.0,0.5075768531719047,94.52192494895024,52.96558556345048,1.6093453512906383e-06,16.981107498224826,0.8217562509524324,0.30469443072139146,3,104.47146555207436,7.207313319668174e-05,48.093039908272786,50.85294117647059,1.34375,50.85294117647059,50.85294117647059
50.0,0.5073842803454425,2.014898502538532,2.0,50.85294117647059,onshore,UK,-33.384141307821764,0.27931583172322805,301.05963136637104,50.08759259285787,5.447299650944852e-07,11.00450481548139,0.7522830060501888,0.028557819070867296,2,103.44805560640997,0.3670724034309387,44.43369801424253,50.85294117647059,2.0,50.85294117647059,50.85294117647059
51.0,1.710866375537679,-2.8384782797143338,-8.5,51.529411764705884,onshore,UK,-72.63694688865178,0.24564595021481975,180.0,12.739206389874258,5.640438339666574e-07,6.249627593085181,0.7586989136809947,0.0,1,83.50593669722555,2.8800161089748144e-05,0.0,51.529411764705884,-8.5,51.529411764705884,51.529411764705884
52.0,0.7586989136809947,1.0337954817329609,-7.84375,51.529411764705884,onshore,UK,-72.63694688865178,0.24564595021481975,180.0,12.739206389874258,5.640438339666574e-07,24.372782212878302,1.2412585991091998,0.3668770521695026,3,67.6182801070546,2.7846486773341894e-05,0.0,51.529411764705884,-7.84375,51.529411764705884,51.529411764705884
53.0,1.1975032894065536,-0.8032126429942357,-7.1875,51.529411764705884,onshore,UK,-72.63694688865178,0.24564595021481975,180.0,12.739206389874258,5.640438339666574e-07,43.17250169658298,0.6472316444058714,0.11146726927512335,2,74.57744493398326,4.37013222835958e-05,0.0,51.529411764705884,-7.1875,51.529411764705884,51.529411764705884
